pca_1,pca_2,tsne_1,tsne_2,label
-1954.7189843322994,225.49178225301876,17.545647,-10.280821,Data Asli
-1825.1160602516793,-107.93508395320532,4.5915484,-32.96828,Data Asli
-1021.0922604927437,856.8760662977757,9.392661,0.7699363,Data Asli
-748.6564085266255,-4100.460108136145,24.997705,4.224702,Data Asli
-2142.363628000974,211.02687509115822,-20.34689,28.045115,Data Asli
-2095.984043782293,297.4197092893555,12.037203,39.822155,Data Asli
-1793.8827932298082,552.3741882881268,-3.8640032,-4.5664444,Data Asli
-2108.385267646714,308.13106625511955,-21.249237,31.365395,Data Asli
-1887.3309721708174,737.6879781560083,-5.1121583,-16.787962,Data Asli
-1971.8539100704584,371.39055453907895,11.777874,-7.4120812,Data Asli
-1973.4363547037792,-153.7609381431348,14.734557,-25.209368,Data Asli
-188.2103659002787,451.52037555507013,19.802298,-23.138939,Data Asli
-2049.9749562969955,294.44908356563246,9.811212,34.11695,Data Asli
-2092.034143600875,333.2506888158232,8.34455,40.633713,Data Asli
-2980.273767339615,274.43235958805417,-17.80595,-4.5265293,Data Asli
-2006.0909834096747,333.8778268150354,5.562323,36.959866,Data Asli
-2495.8839916754223,184.80125524044433,-27.125887,-5.2177405,Data Asli
-2898.61267633691,-182.8888768073175,-28.28031,-11.457168,Data Asli
-2436.8859393295497,-124.56259469705492,-27.692677,-4.0208726,Data Asli
-2110.726581669758,329.6008618945016,-21.337393,32.262188,Data Asli
-758.6042824968572,-314.9571738897075,10.249684,-28.601034,Data Asli
-858.4325029710744,433.1524500530413,10.301006,1.9064393,Data Asli
-2637.0154047960714,542.1347933287716,-16.557053,-1.9854102,Data Asli
-1986.8749423670815,326.69697881698994,-9.210399,-27.598053,Data Asli
-2071.7373334370786,262.8331156615468,12.35604,35.070873,Data Asli
-2349.4205131424023,532.9549038077121,-18.308529,17.95572,Data Asli
-2099.2194379232205,319.2723327242111,11.163897,40.751137,Data Asli
19181.585416279817,2339.469243776269,63.15051,2.29645,Data Asli
-2138.136668041905,441.01762444150063,-18.028746,21.6991,Data Asli
-2087.0060548514593,334.48972024935574,11.071508,-11.24839,Data Asli
-2036.082760113277,256.6390137697772,-15.594795,30.454111,Data Asli
-2887.7248342985076,343.0030604889507,-16.392092,-6.370024,Data Asli
-2116.9389930978978,343.0500797148834,9.7669935,41.951805,Data Asli
-2170.8854994046305,870.5100170108944,-6.907193,-3.8073697,Data Asli
-1724.7506584653675,-27.35731476971705,-1.3070897,26.958326,Data Asli
-2043.0803581507316,739.5350917418718,-7.766419,2.5935705,Data Asli
-1969.6295533318553,227.24904833966775,-9.808121,-28.25208,Data Asli
-1410.4140293999335,-478.1810367479857,15.696325,-27.515385,Data Asli
-2382.6304034515088,-7.638641135536091,-22.504221,25.83299,Data Asli
-2097.7223521200904,311.1326631484517,11.521586,40.641068,Data Asli
-1140.03784943372,-499.60676526432053,10.516657,-26.41742,Data Asli
-2756.71842614008,-105.1278511808705,-28.322205,-10.952199,Data Asli
-2051.6889366181604,372.6388617027469,-9.260379,-26.04529,Data Asli
