[START] 2026-01-17T08:16:21Z bridge=br0 duration=600 interval=1
[INFO] Delay log path: /home/ovs/sdn-iot/pengujian/delay_log.csv
[INFO] Output dataset : /home/ovs/sdn-iot/pengujian/allport/dataset_dqn.csv
[PROGRESS] ts=2026-01-17T08:19:27Z rows=166 delay(dht11)=5.167 delay(camera)=5.547 delay(max)=5.111
[PROGRESS] ts=2026-01-17T08:19:28Z rows=167 delay(dht11)=5.118 delay(camera)=5.547 delay(max)=5.111
[PROGRESS] ts=2026-01-17T08:19:29Z rows=168 delay(dht11)=5.095 delay(camera)=5.547 delay(max)=5.115
[PROGRESS] ts=2026-01-17T08:19:30Z rows=169 delay(dht11)=5.132 delay(camera)=5.547 delay(max)=5.115
[PROGRESS] ts=2026-01-17T08:19:31Z rows=170 delay(dht11)=5.111 delay(camera)=5.547 delay(max)=5.121
[PROGRESS] ts=2026-01-17T08:19:32Z rows=171 delay(dht11)=5.111 delay(camera)=5.567 delay(max)=5.121
[PROGRESS] ts=2026-01-17T08:19:34Z rows=172 delay(dht11)=5.122 delay(camera)=5.567 delay(max)=5.121
[PROGRESS] ts=2026-01-17T08:19:35Z rows=173 delay(dht11)=5.117 delay(camera)=5.567 delay(max)=5.085
[PROGRESS] ts=2026-01-17T08:19:36Z rows=174 delay(dht11)=5.144 delay(camera)=5.532 delay(max)=5.085
[PROGRESS] ts=2026-01-17T08:19:37Z rows=175 delay(dht11)=5.397 delay(camera)=5.532 delay(max)=5.085
[PROGRESS] ts=2026-01-17T08:19:38Z rows=176 delay(dht11)=5.279 delay(camera)=5.355 delay(max)=5.240
[PROGRESS] ts=2026-01-17T08:19:39Z rows=177 delay(dht11)=5.125 delay(camera)=5.512 delay(max)=5.240
[PROGRESS] ts=2026-01-17T08:19:40Z rows=178 delay(dht11)=5.125 delay(camera)=5.512 delay(max)=5.384
[PROGRESS] ts=2026-01-17T08:19:41Z rows=179 delay(dht11)=5.115 delay(camera)=5.512 delay(max)=5.384
[PROGRESS] ts=2026-01-17T08:19:42Z rows=180 delay(dht11)=5.366 delay(camera)=5.517 delay(max)=5.384
[PROGRESS] ts=2026-01-17T08:19:44Z rows=181 delay(dht11)=5.177 delay(camera)=5.517 delay(max)=5.110
[PROGRESS] ts=2026-01-17T08:19:45Z rows=182 delay(dht11)=5.097 delay(camera)=5.517 delay(max)=5.110
[PROGRESS] ts=2026-01-17T08:19:46Z rows=183 delay(dht11)=5.109 delay(camera)=5.517 delay(max)=5.110
[PROGRESS] ts=2026-01-17T08:19:47Z rows=184 delay(dht11)=5.119 delay(camera)=5.745 delay(max)=5.131
[PROGRESS] ts=2026-01-17T08:19:48Z rows=185 delay(dht11)=5.115 delay(camera)=5.745 delay(max)=5.131
