timestamp,device_id,src_ip,delay_ms
2026-01-16T08:42:22Z,dht11,192.168.15.237,-12.227
2026-01-16T08:42:24Z,camera,192.168.15.237,-11.758
2026-01-16T08:42:25Z,max,192.168.15.237,-12.293
2026-01-16T08:42:27Z,dht11,192.168.15.237,-12.346
2026-01-16T08:42:29Z,camera,192.168.15.237,-12.030
2026-01-16T08:42:29Z,max,192.168.15.237,-12.377
2026-01-16T08:42:31Z,camera,192.168.15.237,-12.154
2026-01-16T08:42:32Z,dht11,192.168.15.237,-12.441
2026-01-16T08:42:33Z,max,192.168.15.237,-12.506
2026-01-16T08:42:35Z,camera,192.168.15.237,-12.263
2026-01-16T08:42:37Z,camera,192.168.15.237,-12.210
2026-01-16T08:42:37Z,max,192.168.15.237,-12.627
2026-01-16T08:42:37Z,dht11,192.168.15.237,-12.519
2026-01-16T08:42:41Z,camera,192.168.15.237,-12.322
2026-01-16T08:42:41Z,max,192.168.15.237,-12.700
2026-01-16T08:42:42Z,dht11,192.168.15.237,-12.770
2026-01-16T08:42:45Z,max,192.168.15.237,-12.811
2026-01-16T08:42:46Z,camera,192.168.15.237,-12.419
2026-01-16T08:42:47Z,dht11,192.168.15.237,-12.920
2026-01-16T08:42:49Z,max,192.168.15.237,-12.903
2026-01-16T08:42:50Z,camera,192.168.15.237,-12.732
2026-01-16T08:42:52Z,dht11,192.168.15.237,-13.045
2026-01-16T08:42:53Z,max,192.168.15.237,-11.750
2026-01-16T08:42:54Z,camera,192.168.15.237,-12.709
2026-01-16T08:42:57Z,camera,192.168.15.237,-12.693
2026-01-16T08:42:57Z,max,192.168.15.237,-13.011
2026-01-16T08:42:57Z,dht11,192.168.15.237,-13.033
2026-01-16T08:42:59Z,camera,192.168.15.237,-12.505
2026-01-16T08:43:01Z,max,192.168.15.237,-12.877
2026-01-16T08:43:02Z,dht11,192.168.15.237,-12.820
2026-01-16T08:43:04Z,camera,192.168.15.237,-12.507
2026-01-16T08:43:05Z,max,192.168.15.237,-12.677
2026-01-16T08:43:07Z,dht11,192.168.15.237,-12.586
2026-01-16T08:43:09Z,camera,192.168.15.237,-11.988
2026-01-16T08:43:09Z,max,192.168.15.237,-12.548
2026-01-16T08:43:12Z,dht11,192.168.15.237,-12.412
2026-01-16T08:43:13Z,max,192.168.15.237,-12.345
2026-01-16T08:43:14Z,camera,192.168.15.237,-12.030
