timestamp,port,rx_bytes,tx_bytes
2026-01-13T19:06:34Z,2,19626425167,17189071036
2026-01-13T19:06:35Z,2,19626977742,17189444176
2026-01-13T19:06:36Z,2,19627568394,17189973796
2026-01-13T19:06:37Z,2,19628121241,17190364996
2026-01-13T19:06:38Z,2,19628673696,17190730096
2026-01-13T19:06:39Z,2,19629263188,17191096456
2026-01-13T19:06:40Z,2,19629806935,17191497016
2026-01-13T19:06:41Z,2,19630354711,17191929976
2026-01-13T19:06:42Z,2,19630947658,17192548396
2026-01-13T19:06:43Z,2,19631497830,17192961016
2026-01-13T19:06:44Z,2,19632048018,17193380536
2026-01-13T19:06:45Z,2,19632638667,17193998956
2026-01-13T19:06:46Z,2,19633193120,17194549216
2026-01-13T19:06:47Z,2,19633783490,17195300536
2026-01-13T19:06:48Z,2,19634336712,17195857456
2026-01-13T19:06:49Z,2,19634894736,17196383236
2026-01-13T19:06:50Z,2,19635486202,17196936916
2026-01-13T19:06:51Z,2,19636037804,17197439056
2026-01-13T19:06:52Z,2,19636587739,17197906936
2026-01-13T19:06:53Z,2,19637177078,17198453476
2026-01-13T19:06:54Z,2,19637728096,17198990656
2026-01-13T19:06:55Z,2,19638276597,17199536836
2026-01-13T19:06:56Z,2,19638871354,17200081396
2026-01-13T19:06:57Z,2,19639422238,17200526716
2026-01-13T19:06:58Z,2,19640015985,17201110036
2026-01-13T19:06:59Z,2,19640565594,17201552716
2026-01-13T19:07:00Z,2,19641116092,17202055396
2026-01-13T19:07:01Z,2,19641705854,17202533296
2026-01-13T19:07:02Z,2,19642258390,17202920716
2026-01-13T19:07:03Z,2,19642807744,17203268356
2026-01-13T19:07:04Z,2,19643396878,17203671736
2026-01-13T19:07:05Z,2,19643944462,17204140216
2026-01-13T19:07:06Z,2,19644497358,17204578396
2026-01-13T19:07:07Z,2,19645087249,17204987836
2026-01-13T19:07:08Z,2,19645634621,17205452896
2026-01-13T19:07:09Z,2,19646182570,17205925396
2026-01-13T19:07:10Z,2,19646798920,17206539856
2026-01-13T19:07:11Z,2,19647354995,17207196316
2026-01-13T19:07:12Z,2,19647911936,17207617936
2026-01-13T19:07:13Z,2,19648501319,17208130756
2026-01-13T19:07:14Z,2,19649054467,17208501556
2026-01-13T19:07:15Z,2,19649611792,17208819856
2026-01-13T19:07:16Z,2,19650200592,17209259416
2026-01-13T19:07:17Z,2,19650748432,17209610236
2026-01-13T19:07:18Z,2,19651303067,17210125816
2026-01-13T19:07:19Z,2,19651891099,17210599096
2026-01-13T19:07:20Z,2,19652428866,17211035656
2026-01-13T19:07:21Z,2,19653003119,17211430696
2026-01-13T19:07:23Z,2,19653609532,17211973636
2026-01-13T19:07:24Z,2,19654172427,17212466116
2026-01-13T19:07:25Z,2,19654730249,17212942276
2026-01-13T19:07:26Z,2,19655320216,17213497216
2026-01-13T19:07:27Z,2,19655873057,17213967856
2026-01-13T19:07:28Z,2,19656463761,17214468556
2026-01-13T19:07:29Z,2,19657011192,17214816856
2026-01-13T19:07:30Z,2,19657558884,17215244176
2026-01-13T19:07:31Z,2,19658154445,17215869556
2026-01-13T19:07:32Z,2,19658704163,17216346496
2026-01-13T19:07:33Z,2,19659251427,17216719576
2026-01-13T19:07:34Z,2,19659840186,17217200896
2026-01-13T19:07:35Z,2,19660379539,17217672616
2026-01-13T19:07:36Z,2,19660927208,17218136776
2026-01-13T19:07:37Z,2,19661518104,17218642336
2026-01-13T19:07:38Z,2,19662066072,17219145136
2026-01-13T19:07:39Z,2,19662618445,17219619196
2026-01-13T19:07:40Z,2,19663210237,17220165856
2026-01-13T19:07:41Z,2,19663756733,17220715276
2026-01-13T19:07:42Z,2,19664304701,17221204396
2026-01-13T19:07:43Z,2,19664900609,17221764016
2026-01-13T19:07:44Z,2,19665448257,17222308696
2026-01-13T19:07:45Z,2,19665996913,17222840236
2026-01-13T19:07:46Z,2,19666589366,17223529636
2026-01-13T19:07:47Z,2,19667141985,17224125076
2026-01-13T19:07:48Z,2,19667690273,17224716196
2026-01-13T19:07:49Z,2,19668287885,17225282536
2026-01-13T19:07:50Z,2,19668841970,17225725216
2026-01-13T19:07:51Z,2,19669396959,17226216496
2026-01-13T19:07:52Z,2,19669950988,17226795976
2026-01-13T19:07:53Z,2,19670541260,17227435636
2026-01-13T19:07:54Z,2,19671092976,17227967656
2026-01-13T19:07:55Z,2,19671644399,17228432116
2026-01-13T19:07:56Z,2,19672234570,17228981296
2026-01-13T19:07:57Z,2,19672784145,17229498316
2026-01-13T19:07:58Z,2,19673338699,17229996856
2026-01-13T19:07:59Z,2,19673930440,17230516156
2026-01-13T19:08:00Z,2,19674484221,17231077456
2026-01-13T19:08:01Z,2,19675033161,17231498236
2026-01-13T19:08:02Z,2,19675590312,17232060796
2026-01-13T19:08:03Z,2,19676181168,17232625696
2026-01-13T19:08:04Z,2,19676736655,17233119976
2026-01-13T19:08:05Z,2,19677286210,17233667116
2026-01-13T19:08:06Z,2,19677879781,17234273596
2026-01-13T19:08:07Z,2,19678429178,17234717596
2026-01-13T19:08:08Z,2,19678981435,17235212296
2026-01-13T19:08:09Z,2,19679532476,17235816076
2026-01-13T19:08:10Z,2,19680126984,17236496296
2026-01-13T19:08:11Z,2,19680676416,17236951576
2026-01-13T19:08:12Z,2,19681232766,17237438056
2026-01-13T19:08:13Z,2,19681824942,17238071056
2026-01-13T19:08:14Z,2,19682380748,17238648796
2026-01-13T19:08:15Z,2,19682937887,17239206256
2026-01-13T19:08:16Z,2,19683532191,17239715716
2026-01-13T19:08:17Z,2,19684081810,17240228956
2026-01-13T19:08:18Z,2,19684634620,17240668996
2026-01-13T19:08:19Z,2,19685184458,17241171916
2026-01-13T19:08:20Z,2,19685781105,17241875236
2026-01-13T19:08:21Z,2,19686333969,17242398256
2026-01-13T19:08:22Z,2,19686888147,17242899556
2026-01-13T19:08:23Z,2,19687478623,17243572096
2026-01-13T19:08:24Z,2,19688034240,17244101596
2026-01-13T19:08:25Z,2,19688583183,17244573856
2026-01-13T19:08:26Z,2,19689178570,17245111516
2026-01-13T19:08:27Z,2,19689728942,17245691596
2026-01-13T19:08:28Z,2,19690279698,17246234776
2026-01-13T19:08:29Z,2,19690829137,17246708056
2026-01-13T19:08:30Z,2,19691425275,17247366016
2026-01-13T19:08:31Z,2,19691975156,17247972016
2026-01-13T19:08:32Z,2,19692527096,17248576876
2026-01-13T19:08:33Z,2,19693119192,17249128276
2026-01-13T19:08:34Z,2,19693674260,17249686876
2026-01-13T19:08:35Z,2,19694223884,17250236836
2026-01-13T19:08:36Z,2,19694821397,17250915016
2026-01-13T19:08:37Z,2,19695370820,17251496836
2026-01-13T19:08:38Z,2,19695924135,17252058736
2026-01-13T19:08:39Z,2,19696474592,17252581216
2026-01-13T19:08:41Z,2,19697070042,17253230356
2026-01-13T19:08:42Z,2,19697619046,17253735196
2026-01-13T19:08:43Z,2,19698172220,17254230616
2026-01-13T19:08:44Z,2,19698762172,17254847116
2026-01-13T19:08:45Z,2,19699315563,17255394916
2026-01-13T19:08:46Z,2,19699865999,17255981116
2026-01-13T19:08:47Z,2,19700436606,17256442336
2026-01-13T19:08:48Z,2,19701008906,17257060396
2026-01-13T19:08:49Z,2,19701563706,17257482376
2026-01-13T19:08:50Z,2,19702112186,17258042416
2026-01-13T19:08:51Z,2,19702705512,17258617696
2026-01-13T19:08:52Z,2,19703256864,17259141196
2026-01-13T19:08:53Z,2,19703808753,17259727936
2026-01-13T19:08:54Z,2,19704399777,17260286656
2026-01-13T19:08:55Z,2,19704956975,17260811536
2026-01-13T19:08:56Z,2,19705506866,17261338276
2026-01-13T19:08:57Z,2,19706103962,17262075916
2026-01-13T19:08:58Z,2,19706654740,17262610336
2026-01-13T19:08:59Z,2,19707208870,17263158976
2026-01-13T19:09:00Z,2,19707760159,17263662316
2026-01-13T19:09:01Z,2,19708355046,17264194036
2026-01-13T19:09:02Z,2,19708909125,17264738956
2026-01-13T19:09:03Z,2,19709463156,17265211456
2026-01-13T19:09:04Z,2,19710059673,17265890716
2026-01-13T19:09:05Z,2,19710610507,17266468336
2026-01-13T19:09:06Z,2,19711162956,17267047396
2026-01-13T19:09:07Z,2,19711717556,17267599816
2026-01-13T19:09:08Z,2,19712312469,17268245596
2026-01-13T19:09:09Z,2,19712864511,17268842716
2026-01-13T19:09:10Z,2,19713418135,17269451476
2026-01-13T19:09:11Z,2,19714009792,17270121676
2026-01-13T19:09:12Z,2,19714564235,17270635396
2026-01-13T19:09:13Z,2,19715125879,17271240736
2026-01-13T19:09:14Z,2,19715719438,17271918016
2026-01-13T19:09:15Z,2,19716273843,17272472056
2026-01-13T19:09:16Z,2,19716828098,17273051596
2026-01-13T19:09:17Z,2,19717426428,17273685256
2026-01-13T19:09:18Z,2,19717978529,17274244216
2026-01-13T19:09:19Z,2,19718531681,17274831556
2026-01-13T19:09:20Z,2,19719084586,17275358296
2026-01-13T19:09:21Z,2,19719679812,17275974316
2026-01-13T19:09:22Z,2,19720237972,17276536756
2026-01-13T19:09:23Z,2,19720793366,17277073576
2026-01-13T19:09:24Z,2,19721387528,17277639916
2026-01-13T19:09:25Z,2,19721940417,17278149796
2026-01-13T19:09:26Z,2,19722491620,17278725916
2026-01-13T19:09:27Z,2,19723091136,17279262136
2026-01-13T19:09:28Z,2,19723642114,17279935816
2026-01-13T19:09:29Z,2,19724193724,17280496576
2026-01-13T19:09:30Z,2,19724755142,17280993796
2026-01-13T19:09:31Z,2,19725343922,17281711756
2026-01-13T19:09:32Z,2,19725894089,17282236876
2026-01-13T19:09:33Z,2,19726448943,17282788276
2026-01-13T19:09:34Z,2,19727045295,17283418816
2026-01-13T19:09:35Z,2,19727596435,17284054576
2026-01-13T19:09:36Z,2,19728150208,17284648936
2026-01-13T19:09:37Z,2,19728742171,17285140396
2026-01-13T19:09:38Z,2,19729294166,17285656576
2026-01-13T19:09:39Z,2,19729848456,17286184516
2026-01-13T19:09:40Z,2,19730441798,17286678376
2026-01-13T19:09:41Z,2,19730997354,17287221316
2026-01-13T19:09:42Z,2,19731552364,17287743976
2026-01-13T19:09:43Z,2,19732126158,17288309656
2026-01-13T19:09:44Z,2,19732730754,17288863936
2026-01-13T19:09:45Z,2,19733297919,17289301096
2026-01-13T19:09:46Z,2,19733863662,17289825856
2026-01-13T19:09:47Z,2,19734492789,17290387996
2026-01-13T19:09:48Z,2,19735050391,17290928356
2026-01-13T19:09:49Z,2,19735602052,17291480236
2026-01-13T19:09:50Z,2,19736199142,17291976556
2026-01-13T19:09:51Z,2,19736751889,17292433456
2026-01-13T19:09:52Z,2,19737305324,17292861916
2026-01-13T19:09:53Z,2,19737856832,17293324456
2026-01-13T19:09:54Z,2,19738453386,17293923196
2026-01-13T19:09:55Z,2,19739007666,17294559676
2026-01-13T19:09:56Z,2,19739549366,17295078796
2026-01-13T19:09:57Z,2,19740143023,17295531736
2026-01-13T19:09:58Z,2,19740697312,17296002316
2026-01-13T19:10:00Z,2,19741246444,17296604836
2026-01-13T19:10:01Z,2,19741800601,17297176996
2026-01-13T19:10:02Z,2,19742393821,17297821756
2026-01-13T19:10:03Z,2,19742949952,17298372376
2026-01-13T19:10:04Z,2,19743500609,17298876196
2026-01-13T19:10:05Z,2,19744095021,17299445836
2026-01-13T19:10:06Z,2,19744645309,17299975996
2026-01-13T19:10:07Z,2,19745198826,17300484976
2026-01-13T19:10:08Z,2,19745789532,17301118396
2026-01-13T19:10:09Z,2,19746342320,17301633136
2026-01-13T19:10:10Z,2,19746892195,17302071436
2026-01-13T19:10:11Z,2,19747485525,17302645636
2026-01-13T19:10:12Z,2,19748034657,17303271616
2026-01-13T19:10:13Z,2,19748602933,17303829136
